FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,Emission_ID
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49aa,290360,Chikurachki,30,20070304,20070304,178
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a9,290360,Chikurachki,20,20070819,20070819,179
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a8,290360,Chikurachki,20,20080718,20080718,180
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a7,290360,Chikurachki,5,20150216,20150216,181
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a6,290360,Chikurachki,4,20160330,20160330,182
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a5,290390,Alaid,1110,19810427,19810508,183
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a4,300090,Koryaksky,2,20090816,20090816,184
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a3,300120,Zhupanovsky,227,20140606,20140606,185
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a2,300120,Zhupanovsky,10,20150712,20150712,186
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a1,300230,Kizimen,37,20101213,20101213,187
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49a0,300230,Kizimen,23,20110101,20110101,188
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499f,300240,Tolbachik,200,20121127,20121127,189
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499e,300250,Bezymianny,10,19810613,19810613,190
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499d,300250,Bezymianny,10,19841013,19841013,191
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499c,300250,Bezymianny,10,19850701,19850701,192
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499b,300250,Bezymianny,2,20030726,20030726,193
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-499a,300250,Bezymianny,1,20040114,20040114,194
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4999,300250,Bezymianny,1,20040619,20040619,195
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4998,300250,Bezymianny,5,20060509,20060509,196
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4997,300250,Bezymianny,5,20071015,20071015,197
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4996,300250,Bezymianny,1,20091217,20091217,198
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4995,300250,Bezymianny,3,20120901,20120901,199
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4994,300260,Klyuchevskoy,10,19870219,19870219,200
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4993,300260,Klyuchevskoy,10,19900130,19900130,201
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4992,300260,Klyuchevskoy,150,19941001,19941001,202
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4991,300260,Klyuchevskoy,176,20070430,20070715,203
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4990,300260,Klyuchevskoy,55,20131013,20131020,204
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498f,300260,Klyuchevskoy,2,20131119,20131119,205
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498e,300270,Sheveluch,1,20040510,20040510,206
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498d,300270,Sheveluch,11,20101027,20101027,207
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498c,300270,Sheveluch,5,20140924,20140924,208
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498b,300270,Sheveluch,15,20150224,20150316,209
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-498a,311130,Kasatochi,2000,20080807,20080807,210
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4989,311240,Cleveland,6,20010219,20010219,211
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4988,311240,Cleveland,0.13,20060523,20060523,212
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4987,311240,Cleveland,1,20130505,20130505,213
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-4986,311290,Okmok,150,20080712,20080712,214
